trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,11,-42.58672104369397,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.001, 'e': 0.9342604735772135}",25,9,-45.97128103875134,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
69,False,"{'a': 0.001, 'e': 0.933326680078202}",25,0,-163.47749754829997,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
70,False,"{'a': 0.001, 'e': 0.9323938199059483}",35,9,-99.69063696494155,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 2}",1
71,False,"{'a': 0.001, 'e': 0.9314618921275921}",30,8,-34.40651306346217,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
72,False,"{'a': 0.001, 'e': 0.9305308958112057}",30,16,-70.32885809259328,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.001, 'e': 0.9296008300257927}",20,0,-86.55600120917948,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.001, 'e': 0.9286716938412872}",30,0,-182.73158816583006,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
75,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-136.5606675486514,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
76,False,"{'a': 0.001, 'e': 0.9268162065593822}",30,0,-192.2557432568372,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
77,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-111.66624602674186,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.9249644265435393}",30,0,-104.50042558160649,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-119.231690258247,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
80,False,"{'a': 0.001, 'e': 0.9231163463866358}",25,0,-132.51672748427148,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.001, 'e': 0.922193691444608}",20,3,-70.90112580443598,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.001, 'e': 0.9212719586963487}",20,0,-135.40265011208362,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.001, 'e': 0.9203511472201247}",30,0,-139.44690738529675,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
84,False,"{'a': 0.001, 'e': 0.9194312560951247}",20,6,-51.37797001377268,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.001, 'e': 0.9185122844014574}",30,0,-284.2496220869171,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 6}",0
86,False,"{'a': 0.001, 'e': 0.9175942312201509}",35,0,-128.40727064994863,"{0: 19, 1: 5, 2: 9, 3: 2, 4: 0}",0
87,False,"{'a': 0.001, 'e': 0.9166770956331523}",30,8,-92.29091947990511,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
88,False,"{'a': 0.001, 'e': 0.9157608767233256}",20,0,-65.39266271317774,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.914845573574452}",30,14,-62.01893801059993,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.001, 'e': 0.9139311852712282}",30,0,-198.24471337681666,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
91,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,0,-72.42437130570886,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9121051495450904}",20,0,-47.91285956118945,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.001, 'e': 0.9111935002961405}",30,0,-120.15689391436302,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.910282762240767}",25,0,-100.72499283948636,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.9093729344682314}",25,0,-77.85318283371554,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9084640160687062}",20,0,-40.57938377986396,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-137.81754472821711,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
98,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,4,-54.819784146450914,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.001, 'e': 0.9057427080235485}",25,0,-63.16413831464934,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9048374180359595}",35,0,-72.72267561256868,"{0: 23, 1: 10, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.001, 'e': 0.9039330328858641}",20,0,-31.865775019071215,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.001, 'e': 0.9030295516688768}",30,0,-175.3096558181684,"{0: 19, 1: 5, 2: 1, 3: 2, 4: 3}",0
103,False,"{'a': 0.001, 'e': 0.9021269734815165}",25,0,-74.84224627422199,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
104,False,"{'a': 0.001, 'e': 0.9012252974212047}",25,0,-88.50676496194201,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
105,False,"{'a': 0.001, 'e': 0.9003245225862656}",20,0,-43.611034681748286,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.001, 'e': 0.899424648075924}",20,0,-1.2376339649657302,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.001, 'e': 0.8985256729903055}",30,11,-21.910305342783072,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.001, 'e': 0.8976275964304349}",20,0,-156.25606310110066,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
109,False,"{'a': 0.001, 'e': 0.8967304174982355}",25,0,-115.51294741724091,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
110,False,"{'a': 0.001, 'e': 0.8958341352965282}",30,13,-39.84341365303964,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-58.5265780259573,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
112,False,"{'a': 0.001, 'e': 0.8940442575003572}",30,0,-124.42324927489449,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
113,False,"{'a': 0.001, 'e': 0.8931506601160155}",20,0,-169.10559204584644,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
